responseid,site,condition,is_mindfulness,age,gender_label,country_live,country_birth,english_first_language,eng_level,meditation_naive,duration_in_seconds,progress,finished,stai_total,stai1,stai2,stai3,stai4,stai5,stai6,stai7,stai8,stai9,stai10,stai11,stai12,stai13,stai14,stai15,stai16,stai17,stai18,stai19,stai20,sam_valence,sam_arousal,sam_dominance,ipip1,ipip2,ipip3,ipip4,ipip5,ipip6,ipip7,ipip8,ipip9,ipip10,ipip11,ipip12,ipip13,ipip14,ipip15,ipip16,ipip17,ipip18,ipip19,ipip20,ipip_raw_mean
R_3Oi5YMdSB6CGXlg,quee,body_scan,1,18.0,female,Australia,Australia,1,3.0,1,1403,100,1,25.0,4.0,4.0,1.0,2.0,4.0,1.0,2.0,3.0,1.0,4.0,3.0,1.0,1.0,1.0,4.0,4.0,2.0,1.0,4.0,4.0,8.0,3.0,9.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,3.0,3.0,1.0,3.0,2.0,2.0,4.0,1.0,2.0,3.35
R_vITHqUUDxnG3xXX,quee,control_book,0,20.0,female,Australia,China,0,3.0,1,1382,100,1,26.0,4.0,4.0,1.0,1.0,4.0,1.0,2.0,3.0,1.0,4.0,4.0,3.0,1.0,1.0,4.0,4.0,1.0,1.0,3.0,3.0,6.0,2.0,5.0,2.0,2.0,2.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,5.0,3.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,3.3
R_afmx83s3xPLnPxf,quee,loving_kindness,1,18.0,female,Australia,India,1,2.0,1,1191,100,1,48.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,6.0,3.0,3.0,3.0,5.0,5.0,4.0,3.0,4.0,4.0,5.0,3.0,3.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.15
R_VUrPQeJM1cqfIR3,spri,body_scan,1,22.0,female,United States,Puerto Rico,0,3.0,1,1660,100,1,29.0,4.0,2.0,1.0,1.0,3.0,1.0,1.0,4.0,1.0,4.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,3.0,3.0,6.0,5.0,9.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,4.0,4.0,5.0,3.0,2.0,4.0,3.0,3.0,1.0,4.0,4.0,4.0,4.0,3.25
R_3nkMkziF86npwDn,spri,mindful_breathing,1,19.0,female,United States,United States,1,3.0,1,1121,100,1,21.0,4.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,4.0,4.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,3.0,4.0,8.0,7.0,8.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,3.0
R_tEBV2qGRmtz13fX,newf,control_book,0,20.0,female,Canada,Canada,1,2.0,1,1275,100,1,38.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,3.0,6.0,4.0,5.0,3.0,4.0,2.0,3.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.8
R_2PnS8IUM2tDvQ32,quee,mindful_breathing,1,20.0,female,Australia,Australia,1,3.0,1,1392,100,1,38.0,3.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,3.0,1.0,1.0,2.0,3.0,2.0,1.0,3.0,3.0,6.0,2.0,7.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,2.0,1.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,3.0,4.0,4.0,2.9
R_2EENjEyunGpsIhE,quee,mindful_walking,1,18.0,female,Australia,Hong Kong,0,2.0,1,1381,100,1,45.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,5.0,5.0,4.0,3.0,1.0,3.0,4.0,4.0,4.0,2.0,2.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,2.0,2.85
R_25H33OU0oNLHbUk,spri,loving_kindness,1,18.0,female,United States,United States,1,3.0,1,15365,100,1,27.0,4.0,4.0,1.0,2.0,4.0,2.0,1.0,4.0,1.0,4.0,3.0,1.0,1.0,2.0,4.0,3.0,1.0,1.0,3.0,3.0,7.0,5.0,5.0,2.0,1.0,2.0,3.0,4.0,2.0,3.0,4.0,3.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,2.0,2.9
R_POIt0v7LgInO5XP,iowa,body_scan,1,19.0,male,United States,United States,1,3.0,1,1203,100,1,29.0,3.0,3.0,1.0,2.0,3.0,1.0,1.0,4.0,1.0,3.0,3.0,1.0,2.0,1.0,4.0,4.0,1.0,1.0,3.0,3.0,7.0,3.0,5.0,2.0,2.0,2.0,3.0,3.0,4.0,1.0,4.0,4.0,5.0,3.0,4.0,3.0,4.0,3.0,4.0,5.0,3.0,3.0,5.0,3.35
R_3qwCfgWNECOinQ4,spri,mindful_breathing,1,19.0,female,United States,United States,1,3.0,1,1125,100,1,31.0,4.0,4.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,1.0,2.0,3.0,3.0,7.0,2.0,7.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,2.85
R_249MHtUn5gekAAF,loyo,control_book,0,19.0,male,United States,United States,1,3.0,1,2272,100,1,32.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,3.0,3.0,7.0,4.0,5.0,2.0,1.0,2.0,1.0,4.0,2.0,2.0,4.0,4.0,4.0,2.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,3.35
R_1QAAKoom3yRAEl3,digi,body_scan,1,19.0,male,United States,United States,1,3.0,1,1201,100,1,27.0,4.0,3.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,2.0,4.0,8.0,1.0,7.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,4.0,2.0,4.0,3.0,4.0,4.0,4.0,1.0,3.0,4.0,5.0,2.6
R_ByUHx4HxMmPQdsB,suny,mindful_walking,1,19.0,female,United States,United States,1,2.0,1,1204,100,1,44.0,2.0,3.0,4.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,7.0,6.0,7.0,3.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,2.0,4.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,3.0,3.15
R_2abicMYNTgnfupL,quee,mindful_breathing,1,18.0,female,Australia,Australia,1,3.0,1,1327,100,1,28.0,4.0,4.0,2.0,1.0,4.0,1.0,2.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,4.0,3.0,2.0,2.0,4.0,4.0,8.0,3.0,5.0,3.0,3.0,2.0,4.0,3.0,4.0,3.0,4.0,2.0,4.0,4.0,5.0,2.0,5.0,4.0,2.0,3.0,2.0,4.0,3.0,3.3
R_1Ng1mgsBpNi6NU9,quee,body_scan,1,18.0,female,Australia,Australia,1,3.0,1,1254,100,1,31.0,4.0,3.0,2.0,1.0,3.0,1.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,4.0,4.0,7.0,2.0,7.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,3.0,1.0,2.0,1.0,2.0,5.0,4.0,5.0,2.0,3.75
R_yI2u9OnRctDuKCB,macq,control_book,0,18.0,female,Australia,United Kingdom,1,3.0,1,1190,100,1,59.0,2.0,2.0,3.0,3.0,1.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0,3.0,3.0,3.0,1.0,2.0,5.0,6.0,3.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,2.0,5.0,2.0,4.0,5.0,5.0,3.0,2.0,4.0,4.0,3.45
R_3nuec1BS2jyFBLU,macq,body_scan,1,43.0,male,Australia,Australia,1,3.0,1,1273,100,1,32.0,4.0,3.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,8.0,2.0,7.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.1
R_0CmKwBrnJQqDmmt,macq,control_book,0,18.0,female,Australia,Australia,1,2.0,1,1129,100,1,28.0,4.0,3.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,4.0,4.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,3.0,3.0,7.0,2.0,8.0,3.0,2.0,3.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,3.0,5.0,2.0,5.0,5.0,5.0,4.0,3.0,4.0,5.0,3.7
R_sMOek3MrBL5O2Ah,loyo,loving_kindness,1,18.0,self_describe,United States,United States,1,3.0,1,23265,100,1,25.0,3.0,3.0,1.0,1.0,4.0,2.0,1.0,3.0,1.0,4.0,4.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,4.0,3.0,7.0,4.0,7.0,2.0,1.0,2.0,4.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,3.2
R_bm6fvDgtO2xgcox,quee,mindful_breathing,1,25.0,female,Australia,United States,1,3.0,1,1118,100,1,41.0,3.0,2.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,7.0,3.0,5.0,3.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,2.0,2.0,3.0,4.0,2.0,4.0,3.0,3.2
R_2X4c1Ac9gSaiNgu,macq,mindful_walking,1,21.0,male,Australia,Australia,1,3.0,1,1223,100,1,20.0,4.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,4.0,4.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,4.0,4.0,9.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,2.85
R_3CWqFR7r8mA9gFE,quee,control_book,0,20.0,male,Australia,Australia,1,3.0,1,1146,100,1,35.0,4.0,3.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,2.0,5.0,5.0,5.0,4.0,3.0,4.0,2.0,2.0,5.0,3.0,4.0,4.0,5.0,1.0,4.0,4.0,3.0,2.0,2.0,5.0,2.0,4.0,5.0,3.4
R_3NJmQvzfwUzNXQU,quee,body_scan,1,18.0,male,Australia,Australia,1,3.0,1,1287,100,1,28.0,4.0,3.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,3.0,4.0,1.0,1.0,1.0,4.0,4.0,1.0,2.0,4.0,4.0,7.0,6.0,6.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,5.0,3.35
R_22FaDI0idTfXQeM,quee,loving_kindness,1,23.0,male,Australia,Hong Kong,0,2.0,1,1467,100,1,30.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,3.0,3.0,7.0,4.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,3.3
R_pMpBcj8XmAzhJ6x,jose,mindful_breathing,1,19.0,female,United States,United States,1,3.0,1,1224,100,1,28.0,4.0,3.0,1.0,2.0,3.0,1.0,1.0,3.0,1.0,4.0,3.0,1.0,1.0,1.0,4.0,3.0,1.0,2.0,4.0,3.0,7.0,1.0,7.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.05
R_1LvQxXRu3eCWtxA,quee,body_scan,1,18.0,female,Australia,Australia,1,3.0,1,1482,100,1,32.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,4.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,3.0,3.0,7.0,3.0,6.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,5.0,4.0,4.0,2.0,4.0,4.0,3.0,4.0,3.0,5.0,4.0,2.0,5.0,3.65
R_1hBgzOmXZkUimKM,jose,loving_kindness,1,19.0,female,United States,United States,0,3.0,1,1260,100,1,34.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,8.0,2.0,7.0,4.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,3.3
R_2QyqzUPAa1iGq4P,quee,mindful_breathing,1,19.0,female,Australia,Hong Kong,1,2.0,1,1244,100,1,39.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,6.0,5.0,6.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.1
R_3kH4MEh2adDGsrZ,wurz,mindful_walking,1,23.0,male,Germany,Germany,0,2.0,1,3923,100,1,44.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,6.0,2.0,5.0,2.0,2.0,2.0,1.0,3.0,4.0,2.0,3.0,2.0,4.0,3.0,2.0,4.0,4.0,3.0,5.0,1.0,2.0,4.0,4.0,2.85
R_3lrjkMb6z35NY26,quee,loving_kindness,1,28.0,female,Australia,New Zealand,1,3.0,1,1120,100,1,37.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,7.0,5.0,7.0,2.0,2.0,3.0,4.0,3.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,2.0,3.0
R_3FQXjJq0fPYNQrZ,radb,body_scan,1,22.0,female,Germany,Poland,0,2.0,1,1374,100,1,43.0,3.0,3.0,1.0,4.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,3.0,3.0,2.0,4.0,3.0,2.0,7.0,5.0,7.0,2.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,1.0,2.95
R_3mjGtSFS3srKiBC,radb,control_book,0,19.0,male,Netherlands,Netherlands,1,3.0,1,1391,100,1,20.0,4.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,4.0,4.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,4.0,4.0,9.0,1.0,9.0,2.0,4.0,2.0,1.0,3.0,4.0,2.0,2.0,4.0,5.0,4.0,2.0,5.0,4.0,3.0,2.0,5.0,2.0,4.0,4.0,3.2
R_9RWrjbnMyGYXd4t,spri,mindful_walking,1,19.0,female,United States,United States,1,3.0,1,1351,100,1,31.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,7.0,1.0,8.0,3.0,3.0,3.0,2.0,3.0,4.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.05
R_2VKDeolxf0IvYOH,radb,mindful_breathing,1,21.0,female,Germany,Germany,0,2.0,1,1654,100,1,27.0,4.0,4.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,4.0,2.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,3.0,3.0,7.0,4.0,7.0,3.0,4.0,3.0,4.0,2.0,4.0,2.0,3.0,4.0,4.0,4.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.95
R_1IiMluywrqUzLty,quee,body_scan,1,18.0,non_binary,Australia,Singapore,1,2.0,1,4826,100,1,59.0,2.0,2.0,3.0,3.0,2.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,4.0,3.0,2.0,2.0,7.0,5.0,7.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.55
R_12shVmJTVDmf7tY,spri,mindful_breathing,1,18.0,male,United States,United States,1,2.0,1,1161,100,1,36.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,7.0,2.0,8.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,3.2
R_2VdPXlDFDtsvFWU,seeb,control_book,0,22.0,female,Austria,Austria,0,2.0,1,1971,100,1,47.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,1.0,3.0,3.0,1.0,3.0,2.0,3.0,2.0,2.0,4.0,3.0,2.0,6.0,5.0,8.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.95
R_22QzH6wV5wby2YC,radb,mindful_walking,1,19.0,prefer_not_say,Netherlands,Netherlands,0,2.0,1,1179,100,1,40.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,8.0,3.0,5.0,4.0,4.0,4.0,2.0,5.0,5.0,3.0,4.0,5.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0,2.0,2.0,4.0,3.5
R_9yNjoEIjPN9CiaZ,radb,loving_kindness,1,20.0,female,Netherlands,Netherlands,0,2.0,1,1390,100,1,40.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,5.0,3.0,6.0,5.0,4.0,5.0,3.0,4.0,5.0,4.0,5.0,5.0,5.0,1.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,5.0,3.85
R_1Izz1eY34b5cRls,radb,control_book,0,20.0,male,Netherlands,Netherlands,0,2.0,1,1273,100,1,42.0,3.0,3.0,1.0,1.0,3.0,2.0,3.0,3.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,7.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0,2.0,4.0,2.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,3.05
R_2SlyhIU4YZQrEiF,cali,loving_kindness,1,20.0,self_describe,United States,United States,1,3.0,1,1353,100,1,43.0,3.0,3.0,2.0,3.0,3.0,1.0,3.0,2.0,1.0,3.0,2.0,3.0,1.0,1.0,2.0,3.0,3.0,1.0,3.0,2.0,7.0,6.0,6.0,4.0,4.0,4.0,4.0,4.0,5.0,2.0,5.0,4.0,5.0,2.0,2.0,2.0,4.0,2.0,3.0,4.0,4.0,2.0,4.0,3.5
R_1ITAG1ofADSxU9N,cali,mindful_breathing,1,21.0,female,United States,Turkey,0,2.0,1,1228,100,1,37.0,3.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,3.0,7.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.2
R_400EMPKQzYtFC8x,cali,mindful_walking,1,19.0,female,United States,United States,1,3.0,1,1211,100,1,29.0,4.0,3.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,2.0,4.0,3.0,1.0,1.0,3.0,4.0,9.0,2.0,8.0,4.0,2.0,3.0,5.0,2.0,4.0,2.0,5.0,2.0,5.0,4.0,4.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.05
R_3LdLrHIyKWExJ25,cali,body_scan,1,28.0,female,United States,United States,1,2.0,1,1186,100,1,35.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,2.0,6.0,3.0,6.0,3.0,3.0,2.0,4.0,2.0,4.0,1.0,4.0,4.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,4.0,2.45
R_2QWfj3I5rY7x0UZ,spri,loving_kindness,1,18.0,male,United States,Japan,1,3.0,1,6611,100,1,27.0,4.0,4.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,4.0,3.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,3.0,3.0,7.0,5.0,6.0,3.0,1.0,2.0,3.0,1.0,2.0,1.0,3.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.95
